year,Preparation,"p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"p total, bar","Contact time, s",O2 conversion,CH4 conversion,COx selectivity,C2H6 selectivity,C2H4 selectivity,C2 selectivity,C2 yield,Ag,Al,Au,B,Ba,Be,Bi,C,Ca,Cd,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Fe,Ga,Gd,Ge,Ho,In,Ir,K,La,Li,Lu,Mg,Mn,Mo,Na,Nb,Nd,Ni,P,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,Sb,Sc,Si,Sm,Sn,Sr,Ta,Tb,Te,Th,Ti,Tl,Tm,V,W,Y,Yb,Zn,Zr,Temperature_C
1993,Sol-gel,0.300000012,0.050000001,6,1.013000011,0.24,,16.79999924,,,,45.70000076,7.67759978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,794.85
2014,Impregnation,,,2,1,0.001388889,,15.54622,,13.86555,35.5042,49.36975,7.675129948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.53875,0,83.46125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800
2018,Impregnation,0.4,0.1,4,1,0.030879447,,11.27451,,,,67.88321,7.6534993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750
1994,Precipitation,0.949999988,0.050000001,19,1.013000011,0.052,96,9.100000381,,,,84,7.64400032,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,849.85
2017,IJP-A synthesis,0.454545455,0.151515152,3,1,0.032296,,21.31,,,,35.84,7.637504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.42409,1.419658197,0,7.450945,0.705308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700
1990,Impregnation,0.319999993,0.079999998,4,1.013000011,0.4,,12.69999981,,,,60.09999847,7.632699692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,749.85
2010,Impregnation,,,3,1,0.0440078,,10.66225,,28.79357,42.73049,71.52406,7.626074087,0,0,0,0,0,0,0,0,0,0,0.44365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26267,0,2.11542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.12055,0,0,0,0,0,0,0,0,0,0,0,1.05771,0,0,0,0,800
2019,Impregnation,0.75,0.25,3,1,0.072,,21.42,61.8,27.7,7.9,35.6,7.62552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75,0,3.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.733,0,0,0,0,0,0,0,0,0,0,0,1.839,0,0,0,0,700
2017,Sol-gel,0.666666667,0.166666667,4,1,0.36,,22.45243,66.03773,15.18869,18.77358,33.96227,7.625354898,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650
1986,n.a.,0.670000017,0.07,9.571429253,1.013000011,0.412,100,11.60000038,,27.89999962,37.70000076,65.60000038,7.609600294,0,0,0,0,0,0,0,0,94.69999695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.300000191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749.85
2019,Precipitation,0.4,0.1,4,1,0.03399626,,11.94767,,,,63.67521,7.607703963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,675
2013,n.a.,0.8,0.2,4,1,2.045454545,,19,,27.6,12.4,40,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800
2010,n.a.,0.416,0.084,4.952380952,1,0.25,,19.69027,,,,38.58639318,7.597765,0,0,0,0,0,0,0,0,14.12025628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.87974372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849.85
2010,Impregnation,,,3,1,0.0413283,,10.86093,,29.27614,40.65702,69.93316,7.595391554,0,0,0,0,0,0,0,0,0,0,4.6857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38976,0,2.23424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.57318,0,0,0,0,0,0,0,0,0,0,0,1.11712,0,0,0,0,800
1990,Impregnation,0.166999996,0.055,3.036364079,1.013000011,42.288,95.90000153,21.70000076,65,30,5,35,7.595000267,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799.85
1990,Precipitation,0.133000001,0.066500001,2,1.013000011,0.8,39,17.70000076,,13.10000038,29.79999924,42.89999962,7.59330026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699.85
1991,n.a.,0.908999979,0.090999998,9.989010811,1.013000011,0.018,75,11,31,42,27,69,7.59,0,0,0,0,0,0,0,0,33.29999924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.69999695,0,0,0,825.85
2017,SCS,0.5,0.1,5,1,0.157601631,,12.79245,,,,59.32584,7.589228419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.822909359,0,4.31904703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.6985201,0,0,0,0,0,0,0,0,0,0,0,2.159523515,0,0,0,0,740
2013,Impregnation,,,3,1,,,18.5,59,,,41,7.585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.62550651,0,5.595986104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.77850739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749.85
2018,Precipitation,0.44,0.11,4,1,0.02661344,,18.84842,,,,40.21739,7.58034258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,800
2010,n.a.,0.416,0.084,4.952380952,1,0.25,,18.47345,,,,40.97681808,7.569832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.24757595,0,0,0,0,88.75242405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849.85
2014,SCS,,,5,1,0.41459,,,,,,0,7.559055,0,0,0,0,0,0,0,0,0,0,2.287218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.83253,0,4.362388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.33667,0,0,0,0,0,0,0,0,0,0,0,2.181194,0,0,0,0,800.447
2017,IJP-A synthesis,0.454545455,0.151515152,3,1,0.032934,,22.87,,,,33.04,7.556248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.63101,0.101557211,0,13.94719,1.320244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700
2015,Impregnation,0.454,0.114,4,1.01325,0.128571429,97.1,15.5,7.95,,,48.7,7.5485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,95.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920
2018,Impregnation,0.5,0.25,2,1,0.36,99.9,33.8,,,,22.3,7.5374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.65,0,0,0,0,0,0,0,0,0,0,0,1.041,0,0,0,0,800
2010,Slurry,0.285714286,0.071428571,4,1,0.070931,100,19.50758,,,,38.63636,7.537018836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800
1992,Precipitation,0.912,0.101000004,9.02970314,1.013000011,0.0017,63,10.60000038,,,,71,7.526000271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849.85
1989,n.a.,0.677999973,0.068000004,9.97058773,1.013000011,0.22,100,18.79999924,,,,40,7.519999695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739.85
2017,n.a.,,,3,1,0.01843318,,27,,12.23336602,15.58023398,27.8136,7.509672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700
2019,Impregnation,0.4,0.1,4,1.2,0.1338,40.4,10.8,,,,69.5,7.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.225308464,0,2.080499064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.63988322,0,0.014059721,0,0,0,0,0,0,0,0,0,1.040249532,0,0,0,0,770
1992,n.a.,0.962000012,0.050999999,18.86274529,1.013000011,0.05,92,9.5,,,,79,7.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,849.85
2014,n.a.,,,5,1,,,15.6,,24,24,48,7.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,775
1997,Therm.decomp.,0.889999986,0.109999999,8.090909004,1.013000011,0.07,,14.10000038,,,,53.09999847,7.487099987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799.85
2018,Precipitation,0.44,0.11,4,1,0.026496559,,18.50394,,,,40.43825,7.482669517,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,800
1997,Precipitation,0.600000024,0.059999999,10,1.013000011,0.93,91,11,,,,68,7.48,0,0,0,0,0,0,0,0,2.599999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.40000153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749.85
2008,n.a.,0.098999999,0.033,3,1.013000011,0.06,97,22,,,,34,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.099999905,0,0,96.90000153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799.85
2018,Precipitation,0.44,0.11,4,1,0.025489072,,20.7185,,,,36.05578,7.470216779,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,800
2018,Precipitation,,,8,1,0.02626585,,12.99213,,,,57.48526,7.46855971,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,800
2019,Impregnation,0.75,0.25,3,1,0.072,,23.16,63.3,23.3,8.9,32.2,7.45752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03677,0,0.02722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.9224,0,0,0,0,0,0,0,0,0,0,0,0.01361,0,0,0,0,700
2019,Impregnation,0.375,0.125,3,1,0.211764706,,15.09,47.2,30.7,18.7,49.4,7.45446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.552,0,2.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.25,0,0,0,0,0,0,0,0,0,0,0,1.066,0,0,0,0,700
2017,Impregnation,0.444444444,0.111111111,4,1,0.368844523,,14.50450686,,,,51.375,7.4516904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031836765,0,0,0,0,0,2.227530501,0,2.082576505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.61676798,0,0,0,0,0,0,0,0,0,0,0,1.041288252,0,0,0,0,750
1990,Impregnation,0.430000007,0.159999996,2.6875,1.013000011,0.035,,24,,,,31,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.19999695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779.85
2012,n.a.,,,4,1,0.04,,20.6,64,,,36,7.416,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749.85
2011,Solid-phase technique,0.677419355,0.322580645,2.1,1,0.141621429,18,13,42,27,30,57,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.225809608,0,2.081131983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.65194208,0,0,0,0,0,0,0,0,0,0,0,1.040565992,0,0,0,0,849
2011,Precipitation,0.830769231,0.169230769,4.909090909,1,0.035750462,,20,,23.2962963,13.7037037,37,7.4,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,810
2018,Impregnation,0.44,0.11,4,1,0.026597,,19.94723,,,,37.09678,7.399780029,0,0,0,0,0.411709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.588291,0,0,0,700
1998,Impregnation,0.167999998,0.067000002,2.507462978,1.049999952,0.6,,25.60000038,,16.60000038,12.30000019,28.90000057,7.398400257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699.85
1999,Therm.decomp.,0.75,0.150000006,5,1.013000011,0.18,99.40000153,26.39999962,72,16.39999962,11.60000038,28,7.391999893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,749.85
2016,n.a.,0.8,0.2,4,1,1.5,,18.09783,,,,40.82988,7.389322272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,700
2019,Sol-gel,0.4,0.1,4,1,0.031233336,,17.41936,,,,42.41758,7.388870963,0,0,0,0,0,0,0,0,0,0,48.7804878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.2195122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600
2016,n.a.,0.75,0.25,3,1,0.05,,19.75,,17.05189,20.28169,37.33358,7.37338205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650
2018,Impregnation,0.4,0.1,4,1,0.030998621,,10.85784,,,,67.88321,7.370650329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700
2017,SCS,0.5,0.1,5,1,0.157345889,,14.04135,,,,52.43446,7.362506049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.899776571,0,4.387883718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.6756062,0,0,0,0,0,0,0,4.842791653,0,0,0,2.193941859,0,0,0,0,680
1986,n.a.,0.574999988,0.090000004,6.388888836,1.013000011,0.03,,13.10000038,,,,56.20000076,7.362200314,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649.85
1990,Impregnation,0.319999993,0.079999998,4,1.013000011,0.15,,10,,,,73.5,7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,749.85
1992,Precipitation,0.908999979,0.090999998,9.989010811,1.013000011,9,,10,,,,73.5,7.35,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799.85
1988,Impregnation,0.5,0.104999997,4.761905193,1.013000011,1.5,,8.199999809,,,,89.40000153,7.330799955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.79999924,0,0,0,0,0,0,0,0,0,0,0,76.19999695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774.85
1985,n.a.,0.959999979,0.050000001,19.20000076,1.013000011,0.55,44.09999847,18.70000076,,18.70000076,20.5,39.20000076,7.330400442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829.85
2010,n.a.,0.416,0.084,4.952380952,1,0.25,,20.4646,,,,35.76144171,7.318436,0,0,0,0,0,9.300820026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.69917997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699.85
1987,n.a.,0.666999996,0.067000002,9.955224037,1.013000011,3.9,,10,,31,42,73,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.30000019,0,85.69999695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734.85
2009,Citric acid method,0.32,0.084,4,1,2.28E-05,60.3,15.3,52.4,,,47.6,7.2828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.786043,0,2.111768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.046305,0,0,0,0,0,0,0,0,0,0,0,2.055884,0,0,0,0,799.85
1985,Therm.decomp.,0.649999976,0.079999998,8.125,1.013000011,3.9,94,14,,18,34,52,7.28,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770.85
2019,Sol-gel,0.4,0.1,4,1,0.033086062,,15.33499,,,,47.47253,7.279907728,0,0,0,0,0,0,0,0,9.477756286,0,38.68471954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.83752418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550
2019,Pechini method,0.6,0.2,3,1,0.36,100,24.5,70.3,17.3,12.4,29.7,7.2765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,40,0,0,0,0,50,0,0,0,0,0,0,0,0,800
2012,n.a.,0.192307692,0.038461538,5,1,,,17.2,57.7,,,42.3,7.2756,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799.85
2014,Impregnation,0.4,0.2,2,1,0.8,,45.18,,,,16.09,7.269462,0,0,0,0,0,0,0,0,30.3030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.6969697,0,800
2018,Precipitation,0.44,0.11,4,1,0.025489072,,20.66929,,,,35.05976,7.246603468,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,700
2016,n.a.,0.75,0.25,3,1,0.05,,19.41667,,16.98113,20.14084,37.12197,7.207850412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650
2009,n.a.,0.227272727,0.090909091,2.5,1,0.959147425,,13.2,45.4,27.6,27,54.6,7.2072,0,0,0,0,0,0,0,0,0,0,0,44.44444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.44444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779.85
1985,Therm.decomp.,0.629999995,0.078000002,8.07692337,1.013000011,4.4,100,8,,53,37,90,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,849.85
1990,n.a.,0.537999988,0.474999994,1.132632017,1.013000011,3.75,90,60,,,,12,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728.85
1988,Impregnation,0.460000008,0.045000002,10.22222233,1.013000011,0.012,70,10,,,,72,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.19999695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.799999952,0,0,0,0,0,0,0,0,0,0,0,0,0,699.85
2011,Precipitation,0.416,0.084,5,1,0.25,,19.68023,,,,36.55172,7.193462565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.19827586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.80172414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650
